Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
"click(findTestObject(""Object Repository/Registration/Page_TaskBuddy/a_Log In""))",Firefox 127.0,,,05-07-2024 13:52:36,05-07-2024 13:52:36,0.321s,PASSED
"println(""The login button is clickable"")",Firefox 127.0,,,05-07-2024 13:52:36,05-07-2024 13:52:36,0.001s,PASSED
ActualLogin = getUrl(),Firefox 127.0,,,05-07-2024 13:52:36,05-07-2024 13:52:36,0.005s,PASSED
"ExpectedLogin = ""https://task-buddy-d414881265e1.herokuapp.com/login""",Firefox 127.0,,,05-07-2024 13:52:36,05-07-2024 13:52:36,0.001s,PASSED
"verifyMatch(ActualLogin, ExpectedLogin, false)",Firefox 127.0,,,05-07-2024 13:52:36,05-07-2024 13:52:36,0.001s,PASSED
"takeScreenshot(""C:\Taskbuddy\LoginPage.png"")",Firefox 127.0,,,05-07-2024 13:52:36,05-07-2024 13:52:37,0.597s,PASSED
Start listener action : AfterTestCase,Firefox 127.0,,,05-07-2024 13:52:37,05-07-2024 13:52:38,0.841s,PASSED
,,,,,,,
Test Cases/Registration/TC006_Create a new account with empty full name,Firefox 127.0,,,05-07-2024 13:52:38,05-07-2024 13:52:45,7.014s,PASSED
Start listener action : BeforeTestCase,Firefox 127.0,,,05-07-2024 13:52:38,05-07-2024 13:52:39,1.899s,PASSED
navigateToUrl(URL),Firefox 127.0,,,05-07-2024 13:52:39,05-07-2024 13:52:40,0.379s,PASSED
ActualURL = getUrl(),Firefox 127.0,,,05-07-2024 13:52:40,05-07-2024 13:52:40,0.007s,PASSED
"ExpectedURL = ""https://task-buddy-d414881265e1.herokuapp.com/""",Firefox 127.0,,,05-07-2024 13:52:40,05-07-2024 13:52:40,0.000s,PASSED
"verifyMatch(ActualURL, ExpectedURL, false)",Firefox 127.0,,,05-07-2024 13:52:40,05-07-2024 13:52:40,0.002s,PASSED
"println(""The website is accessible"")",Firefox 127.0,,,05-07-2024 13:52:40,05-07-2024 13:52:40,0.000s,PASSED
"click(findTestObject(""Object Repository/Registration/Page_TaskBuddy/a_Register""))",Firefox 127.0,,,05-07-2024 13:52:40,05-07-2024 13:52:42,2.518s,PASSED
ActualRegisterUrl = getUrl(),Firefox 127.0,,,05-07-2024 13:52:42,05-07-2024 13:52:42,0.011s,PASSED
"ExpectedRegisterUrl = ""https://task-buddy-d414881265e1.herokuapp.com/register""",Firefox 127.0,,,05-07-2024 13:52:42,05-07-2024 13:52:42,0.000s,PASSED
"verifyMatch(ActualRegisterUrl, ExpectedRegisterUrl, false)",Firefox 127.0,,,05-07-2024 13:52:42,05-07-2024 13:52:42,0.002s,PASSED
"println(""The url is correct"")",Firefox 127.0,,,05-07-2024 13:52:42,05-07-2024 13:52:42,0.001s,PASSED
"ActualRegisterTitle = getText(findTestObject(""Object Repository/Registration/Page_TaskBuddy/strong_Register_Title""))",Firefox 127.0,,,05-07-2024 13:52:42,05-07-2024 13:52:43,0.441s,PASSED
"ExpectedRegisterTitle = ""Register""",Firefox 127.0,,,05-07-2024 13:52:43,05-07-2024 13:52:43,0.000s,PASSED
"verifyMatch(ActualRegisterTitle, ExpectedRegisterTitle, false)",Firefox 127.0,,,05-07-2024 13:52:43,05-07-2024 13:52:43,0.002s,PASSED
"println(""The title is Register"")",Firefox 127.0,,,05-07-2024 13:52:43,05-07-2024 13:52:43,0.000s,PASSED
