Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
"ExpectedLogin = ""https://task-buddy-d414881265e1.herokuapp.com/login""",Firefox 122.0,,,05-07-2024 21:25:07,05-07-2024 21:25:07,0.001s,PASSED
"verifyMatch(ActualLogin, ExpectedLogin, false)",Firefox 122.0,,,05-07-2024 21:25:07,05-07-2024 21:25:07,0.009s,PASSED
"takeScreenshot(""C:\Taskbuddy\LoginPage.png"")",Firefox 122.0,,,05-07-2024 21:25:07,05-07-2024 21:25:08,0.767s,PASSED
Start listener action : AfterTestCase,Firefox 122.0,,,05-07-2024 21:25:08,05-07-2024 21:25:09,1.312s,PASSED
,,,,,,,
Test Cases/Registration/TC006_Create a new account with empty full name,Firefox 122.0,,,05-07-2024 21:25:09,05-07-2024 21:25:24,15.465s,PASSED
Start listener action : BeforeTestCase,Firefox 122.0,,,05-07-2024 21:25:09,05-07-2024 21:25:13,3.568s,PASSED
navigateToUrl(URL),Firefox 122.0,,,05-07-2024 21:25:13,05-07-2024 21:25:17,4.399s,PASSED
ActualURL = getUrl(),Firefox 122.0,,,05-07-2024 21:25:17,05-07-2024 21:25:17,0.029s,PASSED
"ExpectedURL = ""https://task-buddy-d414881265e1.herokuapp.com/""",Firefox 122.0,,,05-07-2024 21:25:17,05-07-2024 21:25:17,0.001s,PASSED
"verifyMatch(ActualURL, ExpectedURL, false)",Firefox 122.0,,,05-07-2024 21:25:17,05-07-2024 21:25:17,0.002s,PASSED
"println(""The website is accessible"")",Firefox 122.0,,,05-07-2024 21:25:17,05-07-2024 21:25:17,0.001s,PASSED
"click(findTestObject(""Object Repository/Registration/Page_TaskBuddy/a_Register""))",Firefox 122.0,,,05-07-2024 21:25:17,05-07-2024 21:25:22,4.482s,PASSED
ActualRegisterUrl = getUrl(),Firefox 122.0,,,05-07-2024 21:25:22,05-07-2024 21:25:22,0.016s,PASSED
"ExpectedRegisterUrl = ""https://task-buddy-d414881265e1.herokuapp.com/register""",Firefox 122.0,,,05-07-2024 21:25:22,05-07-2024 21:25:22,0.001s,PASSED
"verifyMatch(ActualRegisterUrl, ExpectedRegisterUrl, false)",Firefox 122.0,,,05-07-2024 21:25:22,05-07-2024 21:25:22,0.007s,PASSED
"println(""The url is correct"")",Firefox 122.0,,,05-07-2024 21:25:22,05-07-2024 21:25:22,0.002s,PASSED
"ActualRegisterTitle = getText(findTestObject(""Object Repository/Registration/Page_TaskBuddy/strong_Register_Title""))",Firefox 122.0,,,05-07-2024 21:25:22,05-07-2024 21:25:22,0.269s,PASSED
"ExpectedRegisterTitle = ""Register""",Firefox 122.0,,,05-07-2024 21:25:22,05-07-2024 21:25:22,0.002s,PASSED
"verifyMatch(ActualRegisterTitle, ExpectedRegisterTitle, false)",Firefox 122.0,,,05-07-2024 21:25:22,05-07-2024 21:25:22,0.001s,PASSED
"println(""The title is Register"")",Firefox 122.0,,,05-07-2024 21:25:22,05-07-2024 21:25:22,0.002s,PASSED
"click(findTestObject(""Object Repository/Registration/Page_TaskBuddy/input_Register_btn login_btn""))",Firefox 122.0,,,05-07-2024 21:25:22,05-07-2024 21:25:22,0.509s,PASSED
"println(""The login button should be clickable"")",Firefox 122.0,,,05-07-2024 21:25:22,05-07-2024 21:25:22,0.001s,PASSED
"takeScreenshot(""C:\Taskbuddy\EmptyData.png"")",Firefox 122.0,,,05-07-2024 21:25:22,05-07-2024 21:25:23,0.580s,PASSED
Start listener action : AfterTestCase,Firefox 122.0,,,05-07-2024 21:25:23,05-07-2024 21:25:24,1.400s,PASSED
,,,,,,,
Test Cases/Registration/TC007_Create a new account with empty data,Firefox 122.0,,,05-07-2024 21:25:24,05-07-2024 21:25:40,15.903s,PASSED
Start listener action : BeforeTestCase,Firefox 122.0,,,05-07-2024 21:25:24,05-07-2024 21:25:28,3.789s,PASSED
navigateToUrl(URL),Firefox 122.0,,,05-07-2024 21:25:28,05-07-2024 21:25:32,3.810s,PASSED
ActualURL = getUrl(),Firefox 122.0,,,05-07-2024 21:25:32,05-07-2024 21:25:32,0.035s,PASSED
"ExpectedURL = ""https://task-buddy-d414881265e1.herokuapp.com/""",Firefox 122.0,,,05-07-2024 21:25:32,05-07-2024 21:25:32,0.001s,PASSED
"verifyMatch(ActualURL, ExpectedURL, false)",Firefox 122.0,,,05-07-2024 21:25:32,05-07-2024 21:25:32,0.005s,PASSED
"println(""The website is accessible"")",Firefox 122.0,,,05-07-2024 21:25:32,05-07-2024 21:25:32,0.002s,PASSED
"click(findTestObject(""Object Repository/Registration/Page_TaskBuddy/a_Register""))",Firefox 122.0,,,05-07-2024 21:25:32,05-07-2024 21:25:36,3.882s,PASSED
ActualRegisterUrl = getUrl(),Firefox 122.0,,,05-07-2024 21:25:36,05-07-2024 21:25:36,0.007s,PASSED
"ExpectedRegisterUrl = ""https://task-buddy-d414881265e1.herokuapp.com/register""",Firefox 122.0,,,05-07-2024 21:25:36,05-07-2024 21:25:36,0.004s,PASSED
"verifyMatch(ActualRegisterUrl, ExpectedRegisterUrl, false)",Firefox 122.0,,,05-07-2024 21:25:36,05-07-2024 21:25:36,0.004s,PASSED
"println(""The url is correct"")",Firefox 122.0,,,05-07-2024 21:25:36,05-07-2024 21:25:36,0.001s,PASSED
"ActualRegisterTitle = getText(findTestObject(""Object Repository/Registration/Page_TaskBuddy/strong_Register_Title""))",Firefox 122.0,,,05-07-2024 21:25:36,05-07-2024 21:25:37,0.379s,PASSED
"ExpectedRegisterTitle = ""Register""",Firefox 122.0,,,05-07-2024 21:25:37,05-07-2024 21:25:37,0.001s,PASSED
"verifyMatch(ActualRegisterTitle, ExpectedRegisterTitle, false)",Firefox 122.0,,,05-07-2024 21:25:37,05-07-2024 21:25:37,0.003s,PASSED
"println(""The title is Register"")",Firefox 122.0,,,05-07-2024 21:25:37,05-07-2024 21:25:37,0.001s,PASSED
